claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_weight,fraud,latitude,longitude
10436,62.0,F,1.0,85,41278.0,1,1,Rent,Local,0,0.0,80,Broker,1,7865.153368,5.0,Compact,15333.84755,28593.80598,0,40.29,-79.88
28685,40.0,F,1.0,71,36887.0,1,1,Own,Parking Lot,0,0.0,86,Broker,0,4196.506799,7.0,Compact,18294.80171,18482.99523,0,38.87,-77.4
4560,33.0,M,1.0,66,34955.0,1,0,Rent,Local,0,0.0,99,Broker,1,5005.642761,6.0,Compact,4983.29886,18796.02101,0,39.6,-104.71
27833,46.0,M,1.0,83,38302.0,1,1,Rent,Local,1,0.0,72,Phone,0,4456.956754,7.0,Large,10653.42962,13963.96323,0,39.16,-77.61
4855,42.0,F,1.0,90,37388.0,1,1,Own,Local,0,0.0,97,Online,1,6759.020151,2.0,Compact,8784.652478,12964.00738,0,39.69,-104.81
21918,50.0,M,1.0,32,39108.0,1,1,Own,Local,1,0.0,1,Phone,0,5153.399955,4.0,Large,26232.19485,15211.52712,0,41.9,-93.3
16205,59.0,F,0.0,64,40787.0,1,1,Own,Highway,0,1.0,56,Phone,1,8672.599758,2.0,Medium,41713.96166,56758.87353,0,39.0,-77.95
12716,66.0,M,1.0,93,41902.0,1,0,Rent,Local,0,0.0,18,Online,1,9455.913674,1.0,Compact,23917.73742,14442.69215,0,38.79,-77.61
15221,49.0,M,1.0,76,38932.0,0,0,Own,Parking Lot,3,0.0,51,Phone,1,4235.830034,9.0,Large,11197.53811,25484.39369,0,39.11,-77.69
28965,34.0,M,1.0,68,35256.0,1,0,Own,Local,0,0.0,92,Broker,1,6368.317208,8.0,Compact,47439.82018,20376.01588,0,41.89,-94.33
19989,51.0,F,0.0,88,39325.0,1,0,Own,Local,0,0.0,22,Broker,0,10527.71476,8.0,Compact,22071.16753,24275.23314,0,33.5,-112.03
615,50.0,M,1.0,88,39138.0,1,1,Own,Local,0,0.0,4,Broker,0,2527.393374,6.0,Large,18288.90122,39687.33038,0,38.97,-77.73
386,45.0,F,1.0,81,38064.0,0,1,Own,Local,1,0.0,32,Phone,0,8739.198226,6.0,Large,16008.94941,18934.70956,1,40.76,-80.32
13000,48.0,M,1.0,78,38703.0,1,1,Rent,Local,0,0.0,16,Broker,1,5160.319375,3.0,Large,22895.58228,30755.23267,0,39.37,-104.85
21817,40.0,F,1.0,96,36870.0,1,0,Own,Local,0,1.0,98,Phone,1,3633.703555,8.0,Medium,56237.31272,13298.72777,0,40.35,-80.16
27443,37.0,F,1.0,78,36115.0,1,0,Rent,Local,0,0.0,34,Broker,0,7893.073865,2.0,Medium,32877.12224,17701.33239,0,38.92,-77.35
25812,49.0,M,1.0,91,38919.0,0,1,Own,Local,0,0.0,4,Broker,1,3206.329728,3.0,Compact,22696.19349,32819.94446,0,33.45,-111.97
22787,24.0,F,1.0,87,31783.0,1,1,Rent,Local,0,0.0,90,Online,1,3088.230458,1.0,Compact,39161.01846,25821.45685,0,39.88,-105.05
23084,44.0,M,1.0,63,37850.0,1,1,Own,Parking Lot,0,0.0,51,Phone,0,2449.781136,8.0,Compact,15531.61004,22672.50206,0,40.7,-93.36
28803,49.0,F,1.0,38,38923.0,1,0,Own,Parking Lot,0,0.0,3,Broker,0,7875.999385,6.0,Compact,11526.91478,21861.25142,1,38.84,-77.44
2270,43.0,F,0.0,78,37612.0,1,1,Own,Local,0,1.0,2,Broker,1,8885.489479,3.0,Large,66671.13216,21285.50332,1,33.46,-111.98
15622,60.0,M,1.0,85,40957.0,1,1,Own,Parking Lot,0,0.0,64,Broker,0,3402.476881,3.0,Compact,5232.762695,16309.90936,0,39.13,-77.77
14882,23.0,M,0.0,61,31360.0,0,1,Rent,Local,0,0.0,83,Online,1,4237.708353,3.0,Large,10334.31532,38601.23023,0,33.55,-112.09
6925,25.0,F,1.0,76,32178.0,1,0,Own,Local,1,1.0,40,Online,1,6180.987709,8.0,Medium,25562.63951,15637.36257,0,33.59,-112.11
12346,51.0,M,1.0,86,39313.0,0,0,Own,Parking Lot,0,0.0,79,Broker,0,6028.729418,1.0,Medium,21876.737,23963.65288,0,40.29,-79.88
16094,26.0,F,1.0,80,32576.0,0,1,Rent,Highway,0,1.0,50,Online,0,3093.99381,5.0,Medium,30473.12725,7059.619995,0,33.39,-112.03
21999,35.0,F,1.0,85,35545.0,1,0,Own,Parking Lot,2,0.0,30,Broker,1,4995.728035,2.0,Medium,12672.63529,9145.756483,0,38.81,-77.72
27389,35.0,M,1.0,82,35563.0,0,0,Rent,Local,0,0.0,39,Phone,1,2496.322551,4.0,Compact,12992.49067,9445.310491,0,33.49,-112.21
7290,50.0,M,0.0,53,39136.0,0,0,Rent,Highway,1,1.0,99,Phone,1,7963.452604,4.0,Large,23488.05497,46836.32839,0,40.64,-80.49
10358,41.0,M,1.0,57,37131.0,0,1,Own,Parking Lot,0,0.0,6,Broker,1,3991.898535,3.0,Large,10532.6197,19605.55832,0,40.37,-80.23
5132,54.0,F,1.0,84,39911.0,1,0,Own,Local,0,1.0,93,Phone,1,3674.327159,5.0,Large,42829.7778,14706.26926,0,33.55,-112.13
20602,35.0,M,0.0,51,35552.0,1,1,Own,Parking Lot,0,0.0,42,Phone,0,5192.622996,4.0,Compact,40665.52435,16495.00365,0,41.89,-94.33
13407,53.0,F,1.0,80,39714.0,1,1,Own,Highway,0,0.0,42,Broker,1,6700.944973,8.0,Medium,12540.63128,29560.04062,0,40.17,-79.86
11125,32.0,M,1.0,82,34671.0,1,1,Rent,Local,0,0.0,99,Online,1,6094.573429,7.0,Compact,13612.14743,25878.08667,0,33.63,-112.09
19733,41.0,M,1.0,56,37144.0,1,1,Own,Local,1,1.0,6,Broker,1,4102.746114,3.0,Compact,37274.41303,23156.85725,0,40.13,-79.9
11790,37.0,M,0.0,91,36107.0,1,1,Rent,Local,1,0.0,89,Broker,1,7069.085745,4.0,Medium,24741.93893,28172.30504,0,39.79,-105.11
28608,42.0,F,1.0,84,37385.0,1,1,Own,Highway,1,0.0,18,Broker,0,1928.514971,5.0,Medium,20597.32964,31550.16479,0,40.61,-80.25
15454,46.0,M,1.0,73,38290.0,0,0,Own,Parking Lot,0,0.0,15,Broker,0,4907.869387,6.0,Compact,26481.23638,25859.73789,0,39.83,-105.04
1430,36.0,F,1.0,82,35849.0,1,1,Own,Parking Lot,1,0.0,2,Broker,0,4540.218634,9.0,Medium,6415.951745,16792.89033,0,41.71,-94.92
28961,68.0,F,1.0,86,42196.0,1,1,Rent,Local,0,0.0,4,Broker,1,5942.018201,2.0,Large,15453.53974,18214.64245,0,39.61,-104.04
20914,59.0,F,1.0,74,40788.0,1,0,Own,Local,2,0.0,24,Phone,1,10054.11455,2.0,Compact,9694.705541,17113.42471,0,39.83,-105.04
28947,47.0,M,1.0,77,38501.0,1,0,Own,Parking Lot,0,0.0,50,Phone,0,6060.66763,7.0,Large,22388.74523,17043.64078,0,41.01,-93.3
5309,48.0,M,1.0,76,38706.0,1,1,Rent,Parking Lot,0,0.0,9,Online,0,8189.295972,5.0,Large,24091.10274,19115.76221,0,39.13,-77.71
27650,40.0,F,1.0,73,36899.0,1,1,Own,Local,0,1.0,50,Phone,0,6320.262176,3.0,Compact,11496.13804,22569.61219,0,41.39,-95.01
10703,35.0,F,0.0,73,35545.0,0,1,Own,Parking Lot,0,0.0,84,Broker,0,6131.551113,4.0,Compact,29893.27372,26488.79133,0,39.88,-104.8
4987,51.0,M,0.0,89,39332.0,1,1,Rent,Parking Lot,3,0.0,50,Broker,1,6299.453744,6.0,Medium,8522.961202,16277.8725,1,42.15,-94.47
24207,56.0,M,1.0,93,40247.0,1,0,Rent,Parking Lot,0,0.0,49,Broker,1,2096.881852,6.0,Medium,33873.79368,38206.95982,0,41.51,-93.48
5803,41.0,M,1.0,70,37139.0,0,1,Own,Parking Lot,0,0.0,1,Phone,0,4649.870391,6.0,Large,48450.92532,28806.64901,0,40.38,-79.81
17321,31.0,F,1.0,66,34367.0,1,1,Own,Local,0,0.0,100,Phone,0,7906.078606,5.0,Large,11249.12467,12229.50482,0,39.61,-104.04
12986,46.0,F,1.0,66,38286.0,0,0,Rent,Local,1,1.0,4,Broker,1,5585.601711,5.0,Compact,43670.03703,27497.068,0,40.12,-79.86
9211,44.0,F,1.0,98,37844.0,1,1,Rent,Highway,0,0.0,1,Broker,1,5757.480718,5.0,Large,12215.10173,21025.94478,0,40.64,-80.49
8660,42.0,M,1.0,61,37368.0,1,1,Own,Parking Lot,0,0.0,83,Phone,1,8915.685705,3.0,Medium,22360.7986,15721.27645,0,41.51,-93.48
19467,60.0,M,1.0,89,40939.0,0,1,Rent,Parking Lot,0,0.0,39,Broker,1,6024.990226,5.0,Medium,17266.0956,5153.00112,0,40.69,-80.3
15690,25.0,M,0.0,71,32185.0,1,0,Rent,Local,1,1.0,54,Broker,0,6342.003092,9.0,Large,18448.1609,7280.096707,0,38.92,-77.92
14195,38.0,F,0.0,72,36392.0,1,0,Rent,Parking Lot,0,0.0,19,Broker,0,4625.379626,9.0,Compact,27304.47869,32091.40754,0,39.95,-105.14
4339,67.0,F,1.0,78,42039.0,1,1,Own,Local,1,0.0,53,Broker,1,5972.791995,4.0,Large,32467.72659,17500.96074,0,38.9,-77.45
35,24.0,M,0.0,80,31796.0,0,1,Rent,Parking Lot,2,0.0,34,Online,1,5037.605111,7.0,Compact,9224.079753,54331.0653,1,41.53,-93.9
18082,35.0,F,1.0,67,35559.0,1,1,Own,Parking Lot,0,0.0,52,Online,0,3204.997621,4.0,Medium,15656.83686,44789.33537,0,33.5,-112.1
13677,53.0,M,0.0,64,39689.0,1,1,Rent,Parking Lot,1,0.0,15,Phone,1,5489.888332,8.0,Compact,23227.41787,24619.36666,0,39.11,-77.69
29237,33.0,F,1.0,80,34970.0,1,0,Own,Highway,2,0.0,47,Broker,1,5624.903473,3.0,Compact,28279.16365,30650.22754,0,38.63,-77.67
29464,43.0,F,1.0,72,37610.0,1,1,Own,Local,1,0.0,82,Phone,0,4248.816357,8.0,Large,28446.21179,12476.55964,1,41.5,-94.52
9145,43.0,F,1.0,75,37623.0,1,0,Own,Parking Lot,0,0.0,19,Broker,1,4244.644557,4.0,Compact,22007.76197,8468.232099,0,38.97,-77.64
26217,38.0,M,0.0,60,36377.0,0,1,Own,Parking Lot,2,0.0,65,Broker,1,8300.433391,7.0,Large,22513.98683,33755.12422,0,40.38,-80.39
27046,45.0,F,1.0,90,38057.0,1,1,Own,Highway,2,0.0,50,Broker,1,3897.388252,5.0,Medium,11834.73899,11617.97557,0,39.96,-105.02
26686,55.0,M,1.0,79,40057.0,1,0,Own,Parking Lot,0,0.0,62,Broker,1,6369.626522,2.0,Medium,12237.66013,31609.19134,0,38.74,-77.96
7430,32.0,M,1.0,63,34642.0,1,1,Rent,Parking Lot,0,1.0,100,Broker,0,3122.016163,7.0,Medium,24157.08486,26950.69073,0,42.11,-93.15
777,22.0,F,0.0,74,30920.0,0,0,Rent,Parking Lot,0,0.0,47,Online,0,3377.880322,9.0,Medium,16214.89274,37188.20837,0,40.56,-79.81
24230,36.0,M,1.0,77,35834.0,0,1,Rent,Parking Lot,0,0.0,64,Broker,0,5274.07,7.0,Compact,9572.318181,33200.78221,0,41.9,-93.3
27921,28.0,F,1.0,94,33325.0,1,0,Own,Parking Lot,0,0.0,72,Phone,1,5123.55231,11.0,Compact,27331.04866,4574.520372,0,41.81,-93.61
13462,43.0,F,0.0,84,37620.0,1,1,Rent,Parking Lot,4,0.0,65,Phone,1,8852.186369,3.0,Compact,17228.54576,28212.95498,0,38.74,-77.48
22515,52.0,M,1.0,79,39509.0,1,1,Own,Local,0,0.0,68,Broker,1,1720.12605,3.0,Large,29221.38319,12391.00108,0,41.44,-94.76
2649,46.0,M,1.0,51,38281.0,1,0,Own,Parking Lot,0,0.0,49,Phone,1,5480.009291,3.0,Compact,28045.00719,12012.34458,0,41.2,-92.88
12768,25.0,M,1.0,83,32176.0,1,1,Rent,Local,2,0.0,85,Online,0,4825.453384,3.0,Large,4595.460872,15042.64523,0,40.29,-79.88
7814,46.0,M,1.0,95,38283.0,0,1,Own,Local,0,0.0,73,Broker,1,4369.028877,7.0,Medium,12294.933,13403.70853,1,33.5,-112.1
25792,54.0,M,0.0,86,39902.0,1,1,Own,Local,0,0.0,15,Broker,1,2984.039659,3.0,Large,38527.23903,41438.26636,0,42.03,-93.65
2092,20.0,F,1.0,61,29952.0,1,1,Rent,Local,0,1.0,77,Online,1,8699.648793,6.0,Compact,27615.22718,12387.77975,0,40.38,-80.39
26924,51.0,F,0.0,93,39330.0,1,1,Own,Parking Lot,0,0.0,49,Broker,0,2936.028766,4.0,Medium,10161.63952,32481.27209,0,33.46,-111.98
28816,35.0,M,0.0,67,35557.0,1,1,Own,Local,0,1.0,53,Broker,0,9832.967948,5.0,Medium,44154.87616,17557.72576,0,41.67,-93.24
21348,29.0,M,0.0,88,33687.0,0,1,Rent,Parking Lot,0,0.0,37,Phone,1,3477.944174,7.0,Medium,5715.115246,26614.02282,0,39.64,-104.99
25724,26.0,M,1.0,93,32583.0,1,1,Rent,Parking Lot,3,1.0,98,Phone,1,4842.639176,5.0,Compact,25151.91876,20015.8838,0,33.38,-112.11
2275,31.0,M,1.0,33,34343.0,1,0,Rent,Local,0,0.0,97,Phone,1,5395.504624,3.0,Large,6741.691434,40380.27123,0,39.06,-77.39
12440,25.0,M,1.0,64,32192.0,1,1,Own,Local,1,0.0,18,Online,1,4912.086758,6.0,Compact,9475.871443,36742.04058,0,39.74,-104.78
26230,37.0,M,1.0,64,36099.0,0,1,Rent,Local,2,0.0,13,Broker,1,6229.106295,6.0,Large,16523.58205,45729.76404,1,33.5,-112.1
15119,62.0,F,0.0,79,41272.0,0,1,Own,Parking Lot,1,0.0,29,Phone,1,7305.608083,2.0,Large,31199.185,5833.859697,0,33.51,-112.12
20196,51.0,F,1.0,89,39314.0,1,1,Rent,Local,4,0.0,1,Phone,1,5230.040111,4.0,Compact,20710.36179,36330.55463,0,40.38,-80.39
14286,33.0,M,1.0,69,34970.0,0,1,Rent,Parking Lot,0,0.0,6,Broker,1,1820.64345,7.0,Compact,39202.30689,9969.843684,0,41.2,-92.88
22310,41.0,M,1.0,88,37134.0,0,1,Rent,Local,0,0.0,1,Broker,1,5329.367295,6.0,Large,20462.14652,8657.119632,0,39.88,-105.05
2287,56.0,F,1.0,82,40260.0,0,1,Own,Highway,1,1.0,35,Phone,1,4214.042925,7.0,Medium,15686.45591,37087.33311,0,33.56,-112.09
5395,30.0,F,0.0,64,34007.0,0,1,Rent,Parking Lot,0,0.0,75,Phone,1,6199.777835,4.0,Compact,13901.0498,14120.53712,1,33.62,-112.05
3654,44.0,F,1.0,69,37845.0,0,0,Own,Parking Lot,0,0.0,0,Phone,0,6139.094436,5.0,Medium,50866.4852,13503.4347,0,33.3,-112.1
22580,51.0,M,0.0,66,39319.0,1,0,Own,Local,2,1.0,50,Broker,1,7380.223221,5.0,Compact,44181.05415,10681.63937,0,41.01,-93.3
8984,35.0,M,1.0,46,35562.0,1,1,Own,Local,0,1.0,19,Broker,0,6279.591226,5.0,Large,13436.86751,34940.45421,1,42.05,-93.87
25136,43.0,M,0.0,92,37621.0,1,1,Own,Local,0,0.0,49,Online,0,5558.509678,4.0,Compact,12882.3268,16660.18941,1,40.12,-79.86
22964,44.0,M,0.0,82,37835.0,0,1,Own,Parking Lot,2,0.0,62,Phone,1,4287.111298,10.0,Large,43268.95363,19959.06988,0,39.11,-77.69
6357,27.0,F,1.0,86,32953.0,1,1,Own,Local,2,0.0,94,Online,1,1180.140594,4.0,Large,31312.80748,19680.14539,1,39.95,-105.14
14304,42.0,F,0.0,84,37374.0,1,1,Rent,Local,0,1.0,99,Broker,0,6886.151586,2.0,Medium,31638.31245,42810.69212,0,33.62,-112.13
11495,43.0,F,0.0,57,37609.0,0,0,Rent,Local,1,0.0,66,Broker,1,6635.780758,6.0,Medium,9279.224368,13557.3339,1,41.68,-93.46
20648,40.0,F,1.0,84,36889.0,0,0,Rent,Local,1,0.0,9,Phone,1,3507.332992,4.0,Large,10974.30868,8388.157059,1,41.71,-94.92
8354,52.0,F,1.0,66,39522.0,1,0,Own,Local,0,1.0,77,Phone,0,4757.248338,9.0,Medium,33325.21348,12662.15092,0,41.53,-93.9
13184,47.0,F,1.0,79,38505.0,0,1,Own,Local,1,0.0,50,Broker,1,4740.446057,3.0,Medium,16541.65483,9980.662024,1,38.61,-77.64
21597,53.0,M,0.0,89,39706.0,1,1,Rent,Local,0,0.0,31,Broker,0,10232.84747,8.0,Large,8916.152478,26612.12262,0,33.45,-112.06
20464,29.0,M,1.0,42,33678.0,0,1,Rent,Local,1,0.0,13,Phone,0,4809.153307,1.0,Large,57144.01278,26453.8703,1,39.04,-77.48
25909,53.0,M,1.0,92,39698.0,1,1,Rent,Parking Lot,1,0.0,14,Broker,1,4028.955365,2.0,Medium,25609.2429,15340.54858,0,40.54,-79.8
13950,49.0,M,0.0,76,38908.0,1,1,Own,Parking Lot,0,0.0,96,Broker,0,5434.23615,4.0,Medium,35955.03317,26023.25444,0,40.27,-79.8
13780,29.0,M,1.0,14,33678.0,1,0,Rent,Parking Lot,1,0.0,15,Online,0,2808.430661,3.0,Large,36264.20982,27570.18545,0,33.63,-112.15
11682,48.0,M,1.0,84,38721.0,0,0,Rent,Highway,0,0.0,13,Online,1,8253.557464,4.0,Medium,12015.39496,12689.11735,0,40.32,-79.81
5867,44.0,M,1.0,54,37847.0,1,1,Own,Parking Lot,1,0.0,46,Phone,0,3723.906031,1.0,Large,40858.24774,13754.23875,0,33.5,-111.98
21930,47.0,M,1.0,83,38503.0,1,1,Rent,Local,3,0.0,100,Broker,1,3021.799799,2.0,Medium,22398.48508,22504.39488,0,40.17,-79.86
7220,59.0,M,1.0,88,40776.0,0,0,Rent,Highway,0,1.0,1,Broker,1,10570.37906,6.0,Large,40006.76484,13025.86594,0,39.63,-104.78
19950,48.0,M,1.0,60,38719.0,1,0,Own,Local,0,0.0,87,Phone,1,9427.465195,2.0,Medium,20876.30374,8117.375439,0,38.92,-77.5
19561,34.0,M,1.0,69,35271.0,1,1,Own,Parking Lot,0,0.0,85,Phone,0,7046.03054,9.0,Medium,33184.59493,38084.60952,0,39.69,-104.81
5829,38.0,F,0.0,57,36379.0,1,0,Own,Parking Lot,1,1.0,80,Broker,1,2378.524568,4.0,Medium,26852.28705,3053.099348,0,41.5,-94.64
7399,40.0,M,1.0,62,36884.0,1,1,Own,Parking Lot,0,0.0,58,Online,0,2894.956709,9.0,Medium,23850.909,49910.91913,1,40.32,-79.88
23634,26.0,M,1.0,86,32581.0,1,1,Rent,Local,2,0.0,39,Online,0,3293.839381,9.0,Medium,29344.8925,27645.51703,0,41.67,-93.24
20727,27.0,M,1.0,73,32956.0,1,0,Rent,Parking Lot,0,0.0,96,Phone,0,5513.714128,6.0,Large,42244.00582,28271.14792,0,38.79,-77.61
1797,46.0,F,1.0,86,38297.0,1,0,Rent,Local,1,0.0,92,Broker,1,6158.036854,5.0,Compact,8544.253586,18439.44984,0,38.75,-77.43
9832,35.0,M,1.0,71,35539.0,1,0,Own,Parking Lot,0,0.0,80,Broker,0,2955.355657,6.0,Medium,17724.63875,38711.68111,0,38.84,-77.56
7784,55.0,M,1.0,70,40070.0,1,1,Own,Local,0,0.0,29,Broker,1,2230.580238,5.0,Large,13811.03646,30809.22102,1,38.84,-77.44
22552,48.0,F,1.0,83,38704.0,1,1,Own,Parking Lot,2,1.0,47,Broker,1,7815.678589,5.0,Compact,25243.11679,25055.38189,1,33.5,-112.02
1614,27.0,M,0.0,74,32972.0,0,0,Rent,Local,1,0.0,44,Online,0,3683.209489,2.0,Medium,31450.53043,10687.61534,0,33.5,-112.08
5465,45.0,M,1.0,90,38064.0,1,1,Rent,Parking Lot,0,0.0,99,Online,0,5831.203114,9.0,Large,41398.01653,36059.24881,0,42.03,-94.14
29589,48.0,F,0.0,72,38721.0,0,1,Own,Parking Lot,0,0.0,52,Broker,1,3850.059159,8.0,Compact,51734.39442,45231.78684,0,33.43,-112.01
7551,40.0,M,1.0,74,36890.0,1,1,Rent,Local,0,0.0,28,Phone,1,6215.184339,5.0,Compact,17707.15381,19333.94651,0,41.85,-94.01
13193,40.0,F,1.0,80,36886.0,0,0,Rent,Local,2,0.0,54,Online,0,4884.620032,8.0,Compact,10765.43265,25802.96003,0,33.49,-112.21
10372,45.0,F,0.0,55,38058.0,1,0,Own,Parking Lot,0,0.0,97,Broker,0,5498.912024,5.0,Medium,21159.22503,12355.11698,0,40.38,-80.39
1437,38.0,M,1.0,34,36357.0,1,1,Own,Highway,0,0.0,70,Phone,1,6825.391524,1.0,Medium,12789.96942,17851.98839,0,41.51,-93.48
7366,66.0,M,1.0,90,41901.0,1,1,Own,Highway,0,0.0,97,Broker,1,2887.526124,8.0,Large,13227.84715,45416.3891,1,39.88,-105.05
3645,26.0,M,0.0,78,32595.0,0,0,Rent,Local,0,0.0,66,Online,0,5406.149671,1.0,Large,44335.51329,26614.76188,0,39.66,-104.84
22413,41.0,M,0.0,65,37140.0,1,0,Rent,Highway,0,0.0,76,Broker,1,9472.209634,5.0,Medium,52722.60504,27943.09333,1,41.51,-93.48
8817,59.0,M,1.0,94,40780.0,0,1,Own,Highway,0,0.0,50,Broker,0,5505.251291,4.0,Medium,14661.73234,20098.1262,0,39.83,-105.06
4648,33.0,F,1.0,84,34973.0,1,1,Own,Highway,0,1.0,100,Broker,1,5021.805541,8.0,Large,16993.20528,16399.74587,0,33.68,-112.09
25764,35.0,F,1.0,89,35548.0,1,0,Own,Local,2,0.0,100,Online,1,6595.466423,3.0,Large,16596.74374,46782.37827,0,39.69,-104.81
9595,48.0,F,0.0,82,38708.0,1,0,Own,Local,0,0.0,41,Broker,1,8043.164465,6.0,Medium,15561.79303,42221.27377,1,42.02,-93.64
28164,65.0,M,1.0,83,41735.0,1,1,Rent,Parking Lot,0,1.0,68,Broker,1,8248.055325,9.0,Large,22729.70667,34812.18448,0,33.45,-112.09
26321,82.0,M,1.0,25,44067.0,1,1,Own,Parking Lot,2,1.0,59,Broker,1,2187.463655,6.0,Medium,39104.60457,27391.61324,0,39.13,-77.71
437,60.0,M,1.0,6,40964.0,1,1,Rent,Highway,1,0.0,100,Broker,1,4203.554068,4.0,Large,17407.56786,17622.27308,0,38.81,-77.72
2084,49.0,M,1.0,84,38915.0,1,0,Rent,Parking Lot,0,1.0,97,Broker,0,5532.134648,6.0,Compact,29957.29296,30330.16224,0,33.68,-112.09
28438,51.0,F,1.0,78,39314.0,1,0,Rent,Highway,1,1.0,12,Phone,1,4383.307342,3.0,Compact,35466.02156,11703.40534,0,40.63,-80.22
16984,37.0,F,1.0,65,36113.0,1,0,Rent,Highway,3,0.0,74,Broker,1,2764.07883,4.0,Medium,24417.16554,25138.56101,1,42.05,-93.69
21759,42.0,F,1.0,78,37386.0,1,1,Own,Parking Lot,0,0.0,0,Broker,0,4766.821106,9.0,Large,9504.247992,5115.174982,0,38.92,-77.92
29160,50.0,F,1.0,72,39140.0,1,0,Rent,Parking Lot,2,0.0,30,Phone,0,3216.647217,4.0,Medium,15522.15542,42767.78082,0,39.88,-105.05
8595,34.0,F,1.0,83,35267.0,1,1,Own,Highway,1,0.0,91,Broker,1,6781.771561,3.0,Compact,15082.95218,29281.22719,1,41.51,-93.48
20511,34.0,F,1.0,55,35238.0,1,0,Rent,Parking Lot,0,0.0,8,Broker,0,4332.815421,4.0,Medium,15374.32468,32256.67125,0,41.67,-93.24
1790,54.0,F,1.0,59,39894.0,1,1,Own,Local,0,1.0,56,Phone,1,5177.616569,3.0,Medium,26295.2298,17025.62604,0,33.45,-112.06
5154,34.0,M,0.0,80,35270.0,0,0,Rent,Local,0,1.0,4,Broker,1,5332.471335,3.0,Medium,39640.44922,27537.45613,1,33.59,-112.11
26802,54.0,M,1.0,97,39896.0,1,1,Own,Local,0,0.0,39,Broker,0,8925.08385,4.0,Medium,12929.23436,18115.19018,0,40.38,-79.81
6503,69.0,F,0.0,75,42344.0,0,1,Rent,Local,0,0.0,96,Broker,0,6432.068983,4.0,Large,20863.93797,8337.645481,0,33.62,-112.05
28915,34.0,M,0.0,76,35267.0,1,1,Rent,Parking Lot,0,0.0,95,Broker,1,4815.921156,5.0,Large,12403.35285,16839.959,0,33.5,-112.05
21803,45.0,F,1.0,18,38068.0,1,0,Own,Local,0,0.0,74,Phone,0,3868.596847,4.0,Medium,17656.85712,43410.53025,0,33.49,-112.21
22242,35.0,F,1.0,22,35552.0,0,1,Own,Local,1,1.0,85,Phone,1,3703.749473,6.0,Compact,17524.21605,52338.85069,0,40.55,-80.23
8582,44.0,F,1.0,75,37840.0,1,1,Own,Parking Lot,0,0.0,79,Phone,1,5960.198568,4.0,Compact,18278.79341,24142.54239,0,33.51,-112.12
20781,44.0,M,1.0,81,37840.0,0,1,Own,Local,0,0.0,51,Phone,0,3875.354773,7.0,Large,7920.129316,20944.25268,0,39.13,-77.71
8238,42.0,M,1.0,79,37376.0,1,0,Own,Local,1,1.0,53,Broker,1,3192.093842,4.0,Compact,33198.61139,31387.43581,0,40.69,-80.3
12695,51.0,F,1.0,80,39318.0,1,0,Own,Highway,0,0.0,6,Broker,1,4297.19553,6.0,Compact,31442.54497,28065.25305,0,39.75,-104.42
28540,60.0,F,0.0,83,40936.0,0,1,Own,Highway,2,0.0,10,Broker,1,8952.457512,7.0,Compact,21044.52678,10818.32926,0,40.63,-80.08
5718,49.0,M,0.0,69,38911.0,1,1,Rent,Local,0,1.0,1,Broker,0,3904.100234,10.0,Medium,29194.83959,29137.48281,0,40.69,-80.3
28976,69.0,M,0.0,77,42341.0,1,0,Rent,Local,0,0.0,79,Phone,1,7157.833859,6.0,Large,21632.35193,8413.01369,0,40.69,-80.3
18736,66.0,M,1.0,76,41884.0,0,0,Own,Local,2,1.0,71,Online,1,5813.858622,4.0,Compact,100224.7344,25370.7772,1,39.89,-105.11
2138,49.0,M,1.0,47,38912.0,1,1,Rent,Local,0,0.0,100,Online,0,4263.922354,4.0,Compact,10485.84715,24599.58055,0,39.94,-105.06
27804,37.0,M,1.0,85,36098.0,0,0,Own,Local,1,0.0,2,Broker,1,2842.859686,5.0,Compact,15630.91163,46600.91512,0,39.79,-104.7
25863,31.0,F,0.0,71,34339.0,0,0,Rent,Highway,0,0.0,100,Phone,1,3946.158337,6.0,Medium,18530.94764,33822.2361,1,39.45,-104.85
951,42.0,F,1.0,89,37373.0,1,0,Own,Highway,0,0.0,4,Broker,0,7087.537938,8.0,Medium,12130.24985,42853.5624,0,39.06,-77.39
25177,36.0,F,0.0,86,35841.0,1,0,Own,Parking Lot,0,0.0,53,Broker,0,4389.206388,2.0,Large,7062.501267,18122.01488,0,33.63,-112.09
28415,25.0,F,0.0,85,32184.0,1,1,Rent,Parking Lot,0,0.0,58,Online,0,1782.456629,3.0,Large,17971.83316,21256.42248,0,33.56,-112.0
12216,43.0,M,1.0,75,37613.0,1,1,Own,Highway,0,0.0,85,Online,1,2006.577123,7.0,Large,25569.3384,19776.2295,1,40.64,-80.49
9444,38.0,F,1.0,69,36377.0,1,1,Own,Highway,0,1.0,17,Online,1,5095.338876,4.0,Medium,4893.024066,15345.00374,0,40.63,-79.94
9069,33.0,F,0.0,31,34956.0,1,1,Rent,Local,0,0.0,99,Broker,0,4652.10551,5.0,Compact,10992.66771,35132.60055,1,41.51,-93.48
