,claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud,latitude,longitude,claim_year,claim_month,claim_day,claim_weekofyear,claim_weekday,claim_weekend,elapsed_time,rating_per_claim
1163,1924,31.0,M,1.0,33,34329.0,1,1,Rent,85073,2015-02-10,Highway,0,0.0,14,Phone,1,4120.13155,4.0,Compact,14940.561090000001,silver,30026.742710000002,0,33.44,-112.07,2015,2,10,7,1,0,1056,33.0
1164,1925,68.0,F,1.0,52,42202.0,1,1,Own,20160,2016-08-25,Local,1,0.0,97,Broker,1,7265.493719,3.0,Large,30878.02865,white,22382.41325,0,39.11,-77.69,2016,8,25,34,3,0,494,26.0
1165,1926,29.0,M,1.0,54,33684.0,1,1,Rent,85027,2015-07-28,Highway,1,0.0,27,Phone,0,5313.1074960000005,1.0,Medium,36051.54049,blue,14835.31184,0,33.68,-112.09,2015,7,28,31,1,0,888,27.0
1166,1927,53.0,M,1.0,67,39719.0,1,1,Rent,20148,2015-01-12,Highway,0,0.0,59,Broker,0,7807.623754000001,6.0,Compact,20626.13019,other,9838.261064,0,39.0,-77.52,2015,1,12,3,0,0,1085,67.0
1167,1928,37.0,F,0.0,83,36117.0,0,0,Own,20135,2015-01-09,Parking Lot,0,0.0,61,Phone,1,5591.891404999999,3.0,Medium,26711.53526,red,17846.49954,0,39.11,-77.83,2015,1,9,2,4,0,1088,83.0
1168,1930,42.0,M,1.0,12,37392.0,1,0,Own,85002,2016-01-08,Parking Lot,0,0.0,50,Broker,1,1935.7292280000001,3.0,Large,11276.51682,other,27401.88239,1,33.45,-112.06,2016,1,8,1,4,0,724,12.0
1169,1932,43.0,F,1.0,76,37621.0,1,0,Own,80011,2015-06-21,Parking Lot,0,0.0,78,Broker,1,9069.935021,7.0,Medium,47332.466539999994,blue,18803.28413,0,39.74,-104.78,2015,6,21,25,6,1,925,76.0
1170,1933,38.0,F,0.0,91,36372.0,1,0,Own,85061,2016-04-30,Parking Lot,0,0.0,32,Broker,1,3533.735939,2.0,Large,23717.97222,gray,44774.68486,0,33.51,-112.12,2016,4,30,17,5,1,611,91.0
1171,1934,46.0,M,1.0,99,38284.0,0,1,Own,20137,2015-07-24,Parking Lot,0,0.0,81,Broker,0,12845.76359,6.0,Compact,10591.21545,white,7072.392455,0,38.81,-77.72,2015,7,24,30,4,0,892,99.0
1172,1935,55.0,F,1.0,25,40066.0,1,1,Rent,15001,2015-04-12,Local,0,0.0,10,Phone,1,5210.090066,6.0,Compact,12818.3218,white,7758.4616,0,40.61,-80.25,2015,4,12,15,6,1,995,25.0
1173,1936,41.0,M,1.0,94,37152.0,1,1,Own,15053,2016-05-04,Parking Lot,0,0.0,97,Broker,1,1612.369152,4.0,Large,24304.41159,white,38097.00677,0,40.38,-80.36,2016,5,4,18,2,0,607,94.0
1174,1937,46.0,F,0.0,80,38290.0,0,0,Rent,15053,2015-01-06,Highway,0,0.0,50,Broker,0,2564.53278,7.0,Compact,31312.85572,red,10655.3174,0,40.38,-80.36,2015,1,6,2,1,0,1091,80.0
1175,1940,52.0,F,0.0,81,39521.0,0,1,Rent,15009,2015-10-07,Local,0,0.0,50,Broker,1,2823.088815,5.0,Compact,23023.113230000003,silver,12467.95801,0,40.69,-80.3,2015,10,7,41,2,0,817,81.0
1176,1941,43.0,F,0.0,86,37618.0,0,1,Own,15031,2016-04-30,Local,0,1.0,1,Broker,1,5199.8848880000005,5.0,Medium,15750.45014,black,33817.20871,0,40.35,-80.16,2016,4,30,17,5,1,611,86.0
1177,1942,57.0,F,1.0,88,40419.0,1,1,Own,85061,2015-08-18,Parking Lot,0,0.0,91,Phone,0,1422.415059,7.0,Compact,19779.231069999998,white,25061.94165,0,33.51,-112.12,2015,8,18,34,1,0,867,88.0
1178,1943,23.0,M,0.0,76,31346.0,1,1,Rent,15017,2015-09-02,Local,0,0.0,1,Online,1,3451.2705840000003,5.0,Compact,30558.79243,blue,27777.94723,0,40.35,-80.1,2015,9,2,36,2,0,852,76.0
1179,1946,40.0,M,1.0,62,36892.0,0,1,Own,50033,2015-04-25,Local,0,0.0,50,Phone,0,8025.570170999999,3.0,Large,84199.85716,blue,7289.716067,0,41.36,-93.79,2015,4,25,17,5,1,982,62.0
1180,1947,32.0,F,1.0,87,34651.0,1,1,Rent,15051,2015-01-28,Local,0,0.0,90,Phone,1,4899.387223,6.0,Compact,39688.50877,blue,19398.10594,0,40.56,-79.87,2015,1,28,5,2,0,1069,87.0
1181,1948,41.0,M,1.0,95,37155.0,0,1,Own,20160,2016-04-26,Local,1,0.0,1,Phone,0,6618.309375,0.0,Compact,22590.38737,gray,52677.56238,0,39.11,-77.69,2016,4,26,17,1,0,615,47.5
1182,1950,41.0,M,1.0,69,37140.0,0,1,Own,85028,2016-10-05,Highway,0,0.0,51,Broker,0,6103.825368,3.0,Large,9576.260155,red,27752.49438,0,33.56,-112.0,2016,10,5,40,2,0,453,69.0
1183,1951,42.0,F,1.0,91,37385.0,0,1,Own,85033,2016-07-11,Highway,2,1.0,50,Broker,1,3097.349528,6.0,Medium,25117.23145,gray,25631.4888,0,33.49,-112.21,2016,7,11,28,0,0,539,30.333333333333332
1184,1952,53.0,F,1.0,76,39697.0,0,1,Rent,85053,2015-07-01,Local,0,0.0,85,Broker,0,7831.760894,2.0,Compact,65339.21181,white,21034.442219999997,0,33.62,-112.13,2015,7,1,27,2,0,915,76.0
1185,1954,31.0,M,1.0,65,34343.0,1,1,Own,50033,2016-03-29,Parking Lot,0,0.0,72,Broker,0,5200.9022429999995,3.0,Medium,31462.383719999998,white,24880.16839,0,41.36,-93.79,2016,3,29,13,1,0,643,65.0
1186,1957,43.0,F,1.0,77,37598.0,0,1,Own,0,2016-05-14,Parking Lot,0,1.0,36,Phone,1,7306.185751000001,7.0,Medium,21485.68133,other,12841.48951,0,-1.0,-1.0,2016,5,14,19,5,1,597,77.0
1187,1958,55.0,M,1.0,86,40072.0,1,1,Own,50056,2016-07-08,Highway,0,0.0,0,Broker,0,6137.327571,5.0,Compact,11582.41332,white,57313.3355,1,42.01,-93.31,2016,7,8,27,4,0,542,86.0
1188,1961,41.0,F,1.0,53,37120.0,1,1,Own,85077,2016-11-26,Local,0,1.0,1,Broker,0,2784.227332,5.0,Large,18018.02644,blue,22464.85989,0,33.45,-111.97,2016,11,26,47,5,1,401,53.0
1189,1962,45.0,M,1.0,86,38052.0,1,1,Own,20163,2015-06-02,Parking Lot,0,1.0,41,Phone,1,7442.50808,5.0,Compact,30426.65071,red,18842.7436,0,39.0,-77.4,2015,6,2,23,1,0,944,86.0
1190,1964,43.0,M,1.0,80,37625.0,0,0,Rent,15021,2016-05-01,Parking Lot,4,0.0,75,Online,1,5397.932728,5.0,Compact,23945.79505,blue,19709.13324,0,40.38,-80.39,2016,5,1,17,6,1,610,16.0
1191,1965,55.0,M,1.0,86,40064.0,1,1,Own,15050,2015-06-27,Local,0,0.0,37,Broker,1,4697.6599,6.0,Medium,11902.956059999999,silver,32358.26553,0,40.59,-80.47,2015,6,27,26,5,1,919,86.0
1192,1966,39.0,F,1.0,74,36605.0,1,0,Rent,20129,2015-09-22,Local,0,0.0,0,Phone,1,8008.077509999999,2.0,Compact,10197.308009999999,black,10957.15928,0,39.16,-77.61,2015,9,22,39,1,0,832,74.0
1193,1967,33.0,M,1.0,83,34976.0,0,1,Own,85010,2016-07-13,Highway,0,0.0,0,Phone,0,2292.158505,6.0,Medium,5080.1404299999995,black,16061.493519999998,0,33.46,-111.98,2016,7,13,28,2,0,537,83.0
1194,1969,53.0,M,0.0,86,39690.0,0,1,Rent,80023,2016-09-27,Local,0,1.0,39,Broker,1,9492.040035,3.0,Medium,24483.88359,red,10518.44419,0,39.96,-105.02,2016,9,27,39,1,0,461,86.0
1195,1970,32.0,M,0.0,80,34675.0,1,1,Rent,15026,2015-05-27,Local,0,1.0,11,Phone,0,6978.815567000001,3.0,Medium,6090.215145,black,23500.5896,0,40.51,-80.34,2015,5,27,22,2,0,950,80.0
1196,1972,56.0,M,1.0,82,40254.0,0,0,Own,20103,2016-06-19,Parking Lot,1,1.0,34,Phone,1,3740.33835,7.0,Medium,19014.37488,black,52956.295060000004,0,38.92,-77.35,2016,6,19,24,6,1,561,41.0
1197,1974,37.0,F,1.0,59,36124.0,0,1,Own,80003,2015-01-17,Local,0,0.0,18,Phone,0,1687.316342,4.0,Compact,18076.04611,silver,35172.381539999995,1,39.83,-105.06,2015,1,17,3,5,1,1080,59.0
1198,1977,30.0,M,0.0,87,33999.0,1,1,Rent,80021,2015-04-28,Parking Lot,0,0.0,2,Broker,0,4877.689093999999,3.0,Large,36006.065689999996,white,20341.52154,0,39.89,-105.11,2015,4,28,18,1,0,979,87.0
1199,1978,35.0,M,1.0,54,35559.0,1,1,Rent,20153,2016-10-27,Local,0,1.0,54,Phone,0,4871.553054,1.0,Large,39393.50953,gray,12115.8813,0,38.87,-77.4,2016,10,27,43,3,0,431,54.0
1200,1979,36.0,M,0.0,79,35815.0,0,1,Own,20107,2016-04-07,Highway,1,1.0,22,Broker,0,6766.190854,8.0,Medium,13361.78154,white,24225.94741,0,38.96,-77.52,2016,4,7,14,3,0,634,39.5
1201,1982,31.0,F,0.0,83,34357.0,1,1,Own,15025,2015-06-10,Local,0,0.0,2,Phone,1,3738.2992560000002,6.0,Large,15057.40279,white,8380.940793000002,0,40.29,-79.88,2015,6,10,24,2,0,936,83.0
1202,1983,55.0,M,1.0,40,40071.0,1,0,Rent,80040,2016-08-08,Local,0,1.0,17,Broker,1,5290.410928,6.0,Medium,20105.70004,red,19828.22586,0,39.69,-104.81,2016,8,8,32,0,0,511,40.0
1203,1985,32.0,F,1.0,87,34668.0,1,0,Rent,85032,2015-10-22,Highway,0,1.0,43,Broker,1,5096.173935,6.0,Large,23515.26724,gray,17890.90176,0,33.62,-112.0,2015,10,22,43,3,0,802,87.0
1204,1986,49.0,M,1.0,79,38931.0,1,0,Own,20153,2016-05-20,Parking Lot,0,0.0,80,Broker,0,4848.545739,3.0,Compact,14164.764519999999,other,19774.34618,0,38.87,-77.4,2016,5,20,20,4,0,591,79.0
1205,1988,42.0,M,1.0,92,37374.0,0,0,Own,20109,2016-07-06,Local,0,0.0,36,Broker,1,2665.4854649999997,1.0,Compact,18842.56653,blue,26965.298539999996,1,38.79,-77.53,2016,7,6,27,2,0,544,92.0
1206,1990,41.0,M,1.0,64,37140.0,1,0,Rent,85022,2016-08-11,Parking Lot,0,0.0,29,Broker,1,4414.7179399999995,3.0,Large,26112.15312,other,18646.34008,0,33.62,-112.05,2016,8,11,32,3,0,508,64.0
1207,1992,37.0,F,1.0,51,36116.0,1,1,Own,15009,2016-03-07,Parking Lot,0,0.0,66,Phone,1,4122.535993,5.0,Medium,14177.11732,red,18528.32338,0,40.69,-80.3,2016,3,7,10,0,0,665,51.0
1208,1994,46.0,F,1.0,53,38279.0,1,0,Own,80024,2015-04-12,Local,2,0.0,11,Phone,1,2221.932759,5.0,Medium,15204.831,other,13161.02153,0,39.84,-104.92,2015,4,12,15,6,1,995,17.666666666666668
1209,1995,71.0,M,1.0,90,42626.0,1,1,Own,15035,2015-06-07,Highway,0,0.0,21,Phone,1,5585.971625,4.0,Medium,17865.40805,blue,19796.17547,0,40.38,-79.81,2015,6,7,23,6,1,939,90.0
1210,1997,47.0,F,1.0,77,38513.0,1,0,Own,20115,2016-03-29,Parking Lot,2,0.0,9,Broker,1,7631.510998000001,1.0,Compact,34126.132880000005,gray,13974.868269999999,0,38.87,-77.85,2016,3,29,13,1,0,643,25.666666666666668
1211,1998,46.0,F,1.0,78,38282.0,0,1,Rent,50040,2016-07-23,Local,0,0.0,66,Phone,0,6619.394278,5.0,Medium,24007.465930000002,blue,22088.10843,0,42.17,-94.1,2016,7,23,29,5,1,527,78.0
1212,1999,40.0,M,1.0,65,36904.0,1,1,Own,85077,2016-04-23,Parking Lot,3,0.0,12,Broker,0,11483.89884,4.0,Large,42210.235689999994,other,11158.03913,0,33.45,-111.97,2016,4,23,16,5,1,618,16.25
1213,2000,41.0,F,1.0,50,37126.0,1,1,Own,15032,2016-02-19,Local,0,1.0,1,Phone,1,2999.635777,8.0,Compact,33393.94026,other,9596.233456,1,40.64,-79.84,2016,2,19,7,4,0,682,50.0
1214,2001,42.0,M,1.0,52,37368.0,0,1,Rent,85026,2016-11-07,Local,0,1.0,9,Broker,0,9018.901092,5.0,Medium,8591.677177,white,19701.36606,0,33.45,-111.97,2016,11,7,45,0,0,420,52.0
1215,2003,45.0,F,1.0,63,38064.0,1,1,Rent,50005,2015-09-20,Local,0,0.0,1,Broker,1,4360.080438,5.0,Compact,20609.48023,silver,32854.5869,0,42.11,-92.98,2015,9,20,38,6,1,834,63.0
1216,2004,28.0,F,0.0,70,33310.0,1,0,Rent,85077,2016-01-05,Parking Lot,0,0.0,4,Online,1,5264.640788000001,4.0,Medium,12855.96947,red,36356.403710000006,0,33.45,-111.97,2016,1,5,1,1,0,727,70.0
1217,2005,43.66838975043077,M,1.0,52,54333.0,1,0,Rent,15033,2016-04-25,Highway,2,0.0,31,Broker,1,5025.442762,6.0,Compact,29133.038610000003,gray,19643.50895,1,40.17,-79.86,2016,4,25,17,0,0,616,17.333333333333332
1218,2007,27.0,M,0.0,77,32942.0,1,0,Rent,15012,2016-11-07,Highway,3,1.0,95,Online,1,1714.173245,8.0,Large,24898.83566,red,22814.43516,1,40.12,-79.86,2016,11,7,45,0,0,420,19.25
1219,2009,49.0,M,0.0,77,38919.0,1,0,Own,80002,2016-04-02,Parking Lot,0,0.0,93,Phone,1,3318.318363,5.0,Large,14014.89665,red,31808.159910000002,0,39.79,-105.11,2016,4,2,13,5,1,639,77.0
1220,2010,63.0,F,0.0,86,41428.0,1,0,Own,20109,2016-09-09,Local,0,0.0,3,Broker,0,4839.932022999999,4.0,Compact,9612.22611,other,14793.93486,0,38.79,-77.53,2016,9,9,36,4,0,479,86.0
1221,2013,55.0,M,1.0,90,40060.0,1,0,Own,15003,2016-10-07,Local,0,0.0,18,Broker,0,5786.920196,6.0,Compact,31841.49263,black,45040.305739999996,0,40.59,-80.22,2016,10,7,40,4,0,451,90.0
1222,2016,68.0,M,1.0,82,42209.0,0,1,Own,20140,2016-06-28,Highway,0,0.0,21,Broker,1,9780.596568,5.0,Large,13376.647990000001,other,23864.86485,0,38.81,-77.9,2016,6,28,26,1,0,552,82.0
1223,2017,36.0,F,1.0,95,35846.0,0,1,Rent,50041,2015-04-19,Parking Lot,0,0.0,48,Phone,1,3292.587096,5.0,Large,15815.31248,black,19831.18793,1,42.64,-93.25,2015,4,19,16,6,1,988,95.0
1224,2018,37.0,F,0.0,83,36105.0,0,0,Rent,20153,2015-05-17,Local,1,0.0,96,Broker,0,4158.369229999999,5.0,Compact,7345.768268000001,red,32446.54963,1,38.87,-77.4,2015,5,17,20,6,1,960,41.5
1225,2021,54.0,M,1.0,84,39879.0,0,0,Rent,85072,2016-03-12,Local,1,0.0,97,Phone,1,2360.547493,4.0,Compact,42242.13386,silver,52005.75114,1,33.45,-112.01,2016,3,12,10,5,1,660,42.0
1226,2022,49.0,M,0.0,60,38916.0,1,0,Own,85009,2016-01-22,Highway,0,0.0,0,Online,1,6488.210754,5.0,Large,8677.849661,other,28986.178,0,33.44,-112.13,2016,1,22,3,4,0,710,60.0
1227,2023,59.0,F,0.0,62,40778.0,0,0,Own,80103,2016-06-18,Highway,0,0.0,70,Phone,1,5998.220993,3.0,Large,13712.74412,silver,19533.736269999998,0,39.71,-104.22,2016,6,18,24,5,1,562,62.0
1228,2024,24.0,F,1.0,85,31775.0,1,0,Rent,50005,2016-08-26,Parking Lot,0,0.0,59,Online,0,5519.727329,3.0,Medium,15898.502840000001,blue,17618.23158,0,42.11,-92.98,2016,8,26,34,4,0,493,85.0
1229,2026,40.0,F,1.0,81,36881.0,0,1,Own,50009,2016-08-13,Local,0,1.0,99,Broker,0,2212.022786,8.0,Compact,21411.662780000002,silver,20081.79867,0,41.65,-93.47,2016,8,13,32,5,1,506,81.0
1230,2027,32.0,M,0.0,52,34658.0,1,1,Own,15059,2015-12-27,Local,0,0.0,39,Broker,0,13684.012019999998,4.0,Compact,17787.75375,other,34015.44247,0,40.63,-80.45,2015,12,27,52,6,1,736,52.0
1231,2029,39.0,M,1.0,72,36642.0,0,1,Rent,80033,2016-11-25,Parking Lot,1,0.0,48,Broker,0,2647.2769350000003,12.0,Large,22830.517030000003,gray,33720.89679,1,39.77,-105.09,2016,11,25,47,4,0,402,36.0
1232,2031,64.0,M,1.0,64,41605.0,1,1,Rent,85027,2015-11-21,Local,0,0.0,32,Phone,0,1667.1854369999999,6.0,Compact,11024.05542,red,11698.70205,0,33.68,-112.09,2015,11,21,47,5,1,772,64.0
1233,2034,68.0,F,1.0,85,42197.0,0,1,Rent,80022,2016-03-25,Local,0,0.0,4,Phone,1,3447.8272899999997,4.0,Compact,35374.30854,other,57145.278289999995,0,39.88,-104.8,2016,3,25,12,4,0,647,85.0
1234,2036,47.0,M,1.0,40,38501.0,1,1,Rent,80020,2015-07-08,Highway,0,0.0,89,Phone,1,5827.532437,4.0,Compact,15062.18884,silver,20409.86431,1,39.94,-105.06,2015,7,8,28,2,0,908,40.0
1235,2040,36.0,F,1.0,69,35830.0,1,1,Rent,20153,2016-08-09,Highway,0,1.0,98,Broker,0,7239.675556,2.0,Medium,8149.309002,red,12629.91345,0,38.87,-77.4,2016,8,9,32,1,0,510,69.0
1236,2042,51.0,M,1.0,95,39330.0,1,1,Own,80005,2015-02-22,Local,0,0.0,8,Broker,1,8699.553823,7.0,Medium,15319.52286,red,26684.678669999998,0,39.85,-105.13,2015,2,22,8,6,1,1044,95.0
1237,2043,23.0,F,1.0,79,31356.0,1,1,Rent,85031,2016-09-17,Local,0,1.0,88,Online,0,5027.666234,6.0,Medium,26184.611,silver,22462.39425,0,33.49,-112.16,2016,9,17,37,5,1,471,79.0
1238,2045,40.0,M,1.0,88,36875.0,0,0,Rent,15043,2016-10-25,Parking Lot,0,0.0,0,Phone,1,5293.563078,6.0,Compact,30266.32818,red,3713.906787,0,40.64,-80.49,2016,10,25,43,1,0,433,88.0
1239,2047,52.0,M,0.0,82,39503.0,0,1,Rent,50008,2015-08-04,Parking Lot,0,0.0,65,Broker,0,8734.287006,4.0,Compact,20037.16724,other,19168.271119999998,0,40.7,-93.36,2015,8,4,32,1,0,881,82.0
1240,2048,31.0,F,1.0,87,34348.0,1,0,Own,85073,2015-04-08,Local,0,0.0,61,Broker,1,1786.89273,4.0,Medium,21982.72434,blue,25643.44278,1,33.44,-112.07,2015,4,8,15,2,0,999,87.0
1241,2050,58.0,M,1.0,76,40602.0,1,1,Own,50039,2015-10-04,Parking Lot,0,0.0,53,Phone,0,6301.852999000001,4.0,Medium,14714.213469999999,silver,16198.285890000001,0,41.85,-94.01,2015,10,4,40,6,1,820,76.0
1242,2051,64.0,M,1.0,89,41593.0,1,0,Own,85045,2016-04-04,Local,1,1.0,46,Broker,0,4064.736436,4.0,Medium,28669.36143,red,39083.480610000006,0,33.3,-112.1,2016,4,4,14,0,0,637,44.5
1243,2052,62.0,M,0.0,36,41271.0,1,1,Own,80022,2016-08-07,Local,0,0.0,1,Broker,1,2981.046167,3.0,Compact,6537.774443,gray,12580.53952,0,39.88,-104.8,2016,8,7,31,6,1,512,36.0
1244,2058,45.0,M,1.0,69,38048.0,0,0,Own,20132,2015-04-25,Parking Lot,1,1.0,8,Online,1,7387.736542000001,2.0,Large,30424.754610000004,blue,36150.47535,0,39.13,-77.71,2015,4,25,17,5,1,982,34.5
1245,2063,73.0,F,1.0,69,42903.0,1,0,Rent,50023,2016-06-28,Local,0,1.0,99,Broker,0,6716.778773,2.0,Medium,37850.73533,white,12244.43705,0,41.71,-93.62,2016,6,28,26,1,0,552,69.0
1246,2064,49.0,F,1.0,85,38924.0,0,0,Own,20132,2015-12-21,Parking Lot,0,0.0,84,Broker,1,3689.292125,7.0,Medium,31238.096910000004,white,22088.34218,1,39.13,-77.71,2015,12,21,52,0,0,742,85.0
1247,2065,66.0,M,0.0,83,41908.0,1,0,Rent,80103,2016-12-26,Parking Lot,1,0.0,9,Broker,1,7126.421768000001,7.0,Large,21509.24369,gray,43330.80723,0,39.71,-104.22,2016,12,26,52,0,0,371,41.5
1248,2069,57.0,M,1.0,93,40433.0,1,1,Rent,20152,2016-12-04,Parking Lot,0,0.0,83,Phone,0,2626.906135,8.0,Large,23632.82331,black,21498.92638,0,38.92,-77.5,2016,12,4,48,6,1,393,93.0
1249,2071,35.0,F,0.0,75,35533.0,1,1,Rent,20148,2016-09-07,Parking Lot,3,0.0,56,Phone,1,4507.728247999999,7.0,Compact,37708.58087,white,17394.99308,1,39.0,-77.52,2016,9,7,36,2,0,481,18.75
1250,2072,24.0,M,1.0,72,31790.0,1,1,Own,85082,2015-12-12,Parking Lot,0,0.0,93,Online,1,2069.882553,4.0,Large,5628.957224,blue,20799.51989,0,33.46,-111.98,2015,12,12,50,5,1,751,72.0
1251,2074,40.0,F,1.0,94,36888.0,1,1,Own,85080,2016-03-30,Parking Lot,0,0.0,84,Broker,0,3894.145828,1.0,Medium,10987.10548,red,23330.58957,0,33.63,-112.11,2016,3,30,13,2,0,642,94.0
1252,2075,65.0,M,1.0,72,41745.0,1,1,Rent,15004,2016-02-09,Local,1,0.0,50,Phone,0,8640.277898,7.0,Large,23186.11053,white,14898.80187,0,40.35,-80.38,2016,2,9,6,1,0,692,36.0
1253,2076,37.0,M,1.0,88,36099.0,0,0,Own,50001,2016-07-23,Highway,1,1.0,81,Broker,1,5324.503227,3.0,Large,12227.54897,blue,17268.84703,0,41.36,-93.47,2016,7,23,29,5,1,527,44.0
1254,2077,59.0,F,0.0,88,40755.0,1,0,Rent,20140,2015-08-19,Local,5,0.0,37,Phone,1,4165.88482,2.0,Medium,22254.92184,other,13040.0261,0,38.81,-77.9,2015,8,19,34,2,0,866,14.666666666666666
1255,2078,49.0,M,1.0,75,38906.0,0,1,Own,50008,2015-03-13,Parking Lot,0,0.0,97,Broker,0,5739.529568,8.0,Medium,14614.777059999999,black,58275.56307999999,0,40.7,-93.36,2015,3,13,11,4,0,1025,75.0
1256,2080,45.0,M,1.0,93,38074.0,1,0,Own,80045,2015-05-15,Parking Lot,0,0.0,67,Broker,1,2023.02568,9.0,Medium,4808.103478,silver,4478.741201,0,39.75,-104.84,2015,5,15,20,4,0,962,93.0
1257,2082,54.0,F,0.0,89,39897.0,1,0,Rent,20135,2016-03-08,Local,0,0.0,86,Broker,0,5816.0779219999995,3.0,Medium,22769.27833,white,26787.90082,1,39.11,-77.83,2016,3,8,10,1,0,664,89.0
1258,2083,46.0,M,1.0,49,38282.0,0,0,Own,50042,2015-11-25,Parking Lot,0,0.0,5,Broker,0,3132.0240949999998,5.0,Large,59941.73765,black,42514.51878,1,41.54,-94.92,2015,11,25,48,2,0,768,49.0
1259,2084,49.0,M,1.0,84,38915.0,1,0,Rent,85027,2015-11-12,Parking Lot,0,1.0,97,Broker,0,5532.134647999999,6.0,Compact,29957.292960000002,blue,30330.162239999998,0,33.68,-112.09,2015,11,12,46,3,0,781,84.0
1260,2085,60.0,M,1.0,74,40933.0,1,0,Rent,80027,2015-07-06,Local,0,0.0,76,Broker,0,2114.395799,4.0,Large,10453.611579999999,blue,11355.71989,0,39.96,-105.14,2015,7,6,28,0,0,910,74.0
1261,2086,55.0,M,1.0,76,40079.0,0,1,Own,15012,2016-04-06,Parking Lot,5,0.0,50,Broker,1,5282.739197,4.0,Medium,32697.40608,gray,12687.52781,0,40.12,-79.86,2016,4,6,14,2,0,635,12.666666666666666
1262,2087,22.0,M,1.0,79,30923.0,0,0,Rent,80030,2015-09-19,Parking Lot,2,0.0,44,Online,0,7242.128035,3.0,Medium,10123.674640000001,other,24041.74284,0,39.83,-105.04,2015,9,19,38,5,1,835,26.333333333333332
1263,2089,42.0,F,1.0,85,37383.0,0,1,Rent,85077,2016-09-11,Parking Lot,1,0.0,12,Phone,1,4969.714762,3.0,Compact,11564.94625,black,12269.42353,1,33.45,-111.97,2016,9,11,36,6,1,477,42.5
1264,2090,49.0,F,0.0,93,38929.0,0,0,Rent,20149,2015-07-28,Highway,0,1.0,57,Broker,0,1955.5263929999999,6.0,Large,19450.52129,red,33656.06739,0,39.04,-77.48,2015,7,28,31,1,0,888,93.0
1265,2092,20.0,F,1.0,61,29952.0,1,1,Rent,15021,2016-08-05,Local,0,1.0,77,Online,1,8699.648793,6.0,Compact,27615.22718,silver,12387.77975,0,40.38,-80.39,2016,8,5,31,4,0,514,61.0
1266,2093,31.0,F,0.0,61,34327.0,1,1,Own,50026,2015-03-08,Parking Lot,1,0.0,9,Broker,0,4746.720018999999,3.0,Medium,27239.926760000002,white,44293.131030000004,0,41.84,-94.42,2015,3,8,10,6,1,1030,30.5
1267,2094,43.0,M,0.0,20,37625.0,1,1,Rent,15049,2015-08-16,Local,0,0.0,18,Broker,0,1731.0242260000002,6.0,Medium,23009.83917,black,25108.26532,1,40.56,-79.81,2015,8,16,33,6,1,869,20.0
1268,2097,45.0,M,1.0,87,38065.0,1,1,Rent,85071,2015-08-03,Highway,0,0.0,96,Broker,1,3796.090807,3.0,Medium,16912.58629,silver,15446.05,0,33.59,-112.11,2015,8,3,32,0,0,882,87.0
1269,2099,32.0,F,1.0,87,34654.0,0,1,Rent,50025,2016-07-19,Parking Lot,0,0.0,44,Broker,1,6433.242176,7.0,Compact,13004.92849,silver,9118.945383,0,41.71,-94.92,2016,7,19,29,1,0,531,87.0
1270,2103,54.0,M,1.0,68,39893.0,1,1,Rent,15012,2015-01-16,Local,1,0.0,83,Broker,1,1739.565728,6.0,Large,21887.72709,other,31638.4814,0,40.12,-79.86,2015,1,16,3,4,0,1081,34.0
1271,2104,55.0,M,1.0,90,40081.0,1,0,Own,85053,2016-03-19,Parking Lot,0,0.0,30,Broker,0,4019.922686,10.0,Compact,26783.70957,blue,30799.597039999997,0,33.62,-112.13,2016,3,19,11,5,1,653,90.0
1272,2106,67.0,F,0.0,65,42054.0,1,0,Rent,80027,2015-03-21,Local,0,0.0,50,Broker,0,8288.381096,5.0,Compact,28558.32715,other,39897.91642,1,39.96,-105.14,2015,3,21,12,5,1,1017,65.0
1273,2109,47.0,F,1.0,67,38490.0,1,0,Own,20101,2015-11-21,Parking Lot,0,0.0,50,Broker,0,5525.066572,6.0,Large,42734.23059,other,39893.216589999996,0,38.92,-77.35,2015,11,21,47,5,1,772,67.0
1274,2110,44.0,M,1.0,25,37832.0,1,1,Own,80108,2015-11-24,Local,0,0.0,68,Online,1,6804.2904069999995,2.0,Compact,32059.436980000002,other,16606.732809999998,0,39.45,-104.85,2015,11,24,48,1,0,769,25.0
1275,2112,38.0,M,0.0,66,36382.0,1,1,Rent,15057,2015-06-24,Parking Lot,2,0.0,89,Broker,1,6317.392129999999,1.0,Compact,6357.7003859999995,gray,24513.28984,0,40.37,-80.23,2015,6,24,26,2,0,922,22.0
1276,2113,34.0,M,0.0,93,35262.0,0,0,Rent,85040,2015-05-29,Highway,0,0.0,85,Broker,0,4571.726218,6.0,Medium,32818.23725,white,31999.8104,0,33.4,-112.02,2015,5,29,22,4,0,948,93.0
1277,2115,58.0,F,1.0,64,40598.0,1,0,Rent,15045,2016-09-14,Highway,0,0.0,50,Broker,1,2145.100954,5.0,Compact,24187.49033,gray,9707.489223,0,40.32,-79.88,2016,9,14,37,2,0,474,64.0
